# file...... multi_voltageA.csv
# date...... Wed Sep 15 15:27:07 2021
# user...... megan
# host...... (null)
# group..... class=meter
# property.. measured_voltage_A
# limit..... 0
# interval.. 60
# timestamp,Meter2,Meter1,Meter5,Meter3,Meter4,1_2_3,4_5_6,7_8_9,13_14_15,10_11_12,22_23_24,19_20_21,16_17_18
2018-01-01 00:25:00 CST,+2392.44+0.993448i,+2393.64+1.82326i,+2401.78+0i,+2389.53+7.48498i,+2388.32+7.78501i,+2384.91-4.86585i,+2392.59+1.81222i,+2392.38+1.63223i,+2387.6+7.89022i,+2389.53+7.48498i,+2389.04+7.36687i,+2389.53+7.48572i,+2387.6+7.70936i
2018-01-01 00:26:00 CST,+2391.1+1.25819i,+2392.23+2.00215i,+2401.78+0i,+2386.38+7.23875i,+2385.1+7.57804i,+2383.88-4.03384i,+2391.33+2.02368i,+2391.13+1.86584i,+2384.39+7.66576i,+2386.38+7.23875i,+2385.87+7.15648i,+2386.38+7.23951i,+2384.33+7.5413i
2018-01-01 00:27:00 CST,+2390.18+5.62118i,+2391.38+5.61i,+2401.78+0i,+2385.44+10.6235i,+2384.2+10.9473i,+2383.82+0.188792i,+2390.52+5.66231i,+2390.28+5.47541i,+2383.48+11.081i,+2385.44+10.6235i,+2384.93+10.5091i,+2385.44+10.6242i,+2383.48+10.8577i
2018-01-01 00:28:00 CST,+2391.45+5.03522i,+2392.34+5.07015i,+2401.78+0i,+2387.05+9.94899i,+2385.77+10.2456i,+2386.42+0.94932i,+2391.2+5.16783i,+2390.91+5.00397i,+2385.08+10.3388i,+2387.05+9.94899i,+2386.53+9.84646i,+2387.05+9.94974i,+2384.99+10.1027i
2018-01-01 00:29:00 CST,+2391.1+1.48236i,+2391.88+1.82017i,+2401.78+0i,+2386.16+5.28775i,+2384.88+5.55337i,+2386.29-2.72767i,+2390.47+1.83579i,+2390.13+1.69987i,+2384.18+5.62169i,+2386.16+5.28775i,+2385.82+5.18797i,+2386.16+5.28837i,+2384.09+5.39359i
2018-01-01 00:30:00 CST,+2390.68+2.6669i,+2391.53+2.94262i,+2401.78+0i,+2386.05+7.49711i,+2384.82+7.76534i,+2385.26-1.2013i,+2389.9+2.97549i,+2389.56+2.84576i,+2384.16+7.84658i,+2386.05+7.49711i,+2385.49+7.38923i,+2386.05+7.49789i,+2384.07+7.5784i
2018-01-01 00:31:00 CST,+2391.17+1.96333i,+2391.88+2.38325i,+2401.78+0i,+2386.34+7.05534i,+2385.28+7.48201i,+2386.4-2.25969i,+2390.25+2.3322i,+2389.92+2.182i,+2384.92+7.52172i,+2386.34+7.05534i,+2385.85+6.9003i,+2386.34+7.05607i,+2384.52+7.34161i
2018-01-01 00:32:00 CST,+2390.12+1.88681i,+2390.88+2.36258i,+2401.78+0i,+2384.1+7.68178i,+2382.96+8.10208i,+2385-2.13949i,+2389.32+2.22205i,+2389.03+1.97637i,+2382.58+8.18774i,+2384.1+7.68178i,+2383.64+7.60229i,+2384.09+7.68249i,+2382.2+7.98988i
2018-01-01 00:33:00 CST,+2391.67+1.71242i,+2392.42+2.17037i,+2401.78+0i,+2387.62+7.47472i,+2386.56+7.93893i,+2386.54-2.30603i,+2390.71+1.99505i,+2390.33+1.73678i,+2386.12+8.0269i,+2387.62+7.47472i,+2387.21+7.33604i,+2387.62+7.47543i,+2385.84+7.83196i
2018-01-01 00:34:00 CST,+2390.73+0.025032i,+2391.46+0.534662i,+2401.78+0i,+2386+4.80897i,+2384.85+5.23356i,+2385.73-4.07311i,+2389.48+0.270188i,+2388.83-0.0803534i,+2384.41+5.30734i,+2386+4.80897i,+2385.51+4.71086i,+2386+4.80973i,+2384.09+5.1216i
2018-01-01 00:35:00 CST,+2393.32+0.921164i,+2394.08+1.40766i,+2401.78+0i,+2390.54+6.1384i,+2389.46+6.52175i,+2387.97-2.96309i,+2392.5+1.11404i,+2391.81+0.595981i,+2389.03+6.56491i,+2390.54+6.1384i,+2390.05+6.00132i,+2390.54+6.13912i,+2388.75+6.39857i
2018-01-01 00:36:00 CST,+2391.63+0.364385i,+2392.34+0.888633i,+2401.78+0i,+2387.1+5.13218i,+2386+5.59218i,+2386.68-3.74815i,+2390.69+0.677982i,+2389.93+0.221974i,+2385.57+5.62355i,+2387.1+5.13218i,+2386.63+5.02293i,+2387.1+5.13295i,+2385.24+5.51348i
2018-01-01 00:37:00 CST,+2389.76-0.789751i,+2390.45-0.234697i,+2401.78+0i,+2383.48+2.83335i,+2382.35+3.22243i,+2384.98-5.0135i,+2388.76-0.378751i,+2387.98-0.789355i,+2381.93+3.26772i,+2383.48+2.83335i,+2383.01+2.65873i,+2383.48+2.8341i,+2381.57+3.10549i
2018-01-01 00:38:00 CST,+2391.53-2.11004i,+2391.87-1.38736i,+2401.78+0i,+2384.59+1.28733i,+2383.47+1.53788i,+2386.82-6.34245i,+2390.32-1.62775i,+2389.6-2.12256i,+2382.92+1.65711i,+2384.59+1.28733i,+2384.13+1.17041i,+2384.59+1.28809i,+2382.81+1.25692i
2018-01-01 00:39:00 CST,+2390.14-3.67825i,+2390.52-2.97995i,+2401.78+0i,+2382.54-2.00901i,+2380.9-2.04402i,+2385.24-7.80126i,+2388.81-3.14269i,+2388.05-3.61388i,+2379.59-1.87319i,+2382.54-2.00901i,+2382.05-2.09765i,+2382.54-2.00822i,+2380.12-2.33839i
2018-01-01 00:40:00 CST,+2387.94-3.17483i,+2388.36-2.51981i,+2401.78+0i,+2378.51-2.62477i,+2376.32-2.79132i,+2382.85-7.37846i,+2386.64-2.27889i,+2385.84-2.70555i,+2374.85-2.41087i,+2378.51-2.62477i,+2378.06-2.73034i,+2378.51-2.62404i,+2375.14-3.27716i
2018-01-01 00:41:00 CST,+2388.09-3.65741i,+2388.79-2.83289i,+2401.78+0i,+2379.66-2.34209i,+2377.52-2.51458i,+2381.36-8.90353i,+2387.22-2.63772i,+2386.44-3.02804i,+2376.05-2.14689i,+2379.66-2.34209i,+2379.22-2.46453i,+2379.66-2.34136i,+2376.38-2.99309i
2018-01-01 00:42:00 CST,+2385.86+0.630236i,+2386.98+1.9033i,+2401.78+0i,+2375.92+9.92663i,+2373.25+10.9925i,+2376.44-7.06987i,+2385.76+1.68277i,+2385.16+1.22784i,+2371.8+11.2401i,+2375.92+9.92663i,+2375.45+9.79792i,+2375.92+9.9274i,+2371.54+11.7866i
2018-01-01 00:43:00 CST,+2385.98+9.15705i,+2387.01+10.2109i,+2401.78+0i,+2375.64+25.2987i,+2372.94+27.4654i,+2377.09+2.65273i,+2386.04+10.1462i,+2385.66+9.81749i,+2371.49+27.7025i,+2375.64+25.2987i,+2375.18+25.1695i,+2375.64+25.2995i,+2371.15+29.3664i
2018-01-01 00:44:00 CST,+2385.44+10.1091i,+2386.48+11.0812i,+2401.78+0i,+2375.36+27.1597i,+2372.78+29.4502i,+2376.7+3.56869i,+2385.1+10.93i,+2384.68+10.6344i,+2371.35+29.672i,+2375.36+27.1597i,+2374.9+27.0088i,+2375.36+27.1604i,+2371.08+31.448i
2018-01-01 00:45:00 CST,+2384.34+8.77285i,+2385.39+9.67469i,+2401.78+0i,+2373.81+24.5469i,+2371.18+26.7228i,+2375.86+2.19902i,+2383.7+9.38613i,+2383.28+9.10865i,+2369.76+26.9678i,+2373.81+24.5469i,+2373.4+24.3919i,+2373.81+24.5476i,+2369.45+28.5985i
2018-01-01 00:46:00 CST,+2378.9+27.8389i,+2379.76+28.8337i,+2401.78+0i,+2361.44+63.1242i,+2358.98+65.4801i,+2371.38+21.2265i,+2378.21+28.4724i,+2377.84+28.1458i,+2357.54+65.7268i,+2361.44+63.1242i,+2360.97+62.9937i,+2361.43+63.125i,+2357.45+67.5378i
2018-01-01 00:47:00 CST,+2379.47+34.572i,+2380.51+35.5783i,+2401.78+0i,+2364.13+76.6762i,+2361.95+78.8673i,+2370.95+27.8611i,+2378.73+35.3043i,+2378.35+34.9656i,+2360.47+79.1769i,+2364.13+76.6762i,+2363.71+76.5114i,+2364.13+76.677i,+2360.66+81.0672i
2018-01-01 00:48:00 CST,+2376.54+32.7047i,+2377.45+33.7664i,+2401.78+0i,+2357.64+72.978i,+2355.35+75.0973i,+2368.83+25.5719i,+2375.66+33.5008i,+2375.29+33.1669i,+2353.98+75.2626i,+2357.64+72.978i,+2357.2+72.8442i,+2357.64+72.9788i,+2353.8+77.2415i
2018-01-01 00:49:00 CST,+2377.48+34.9661i,+2378.57+35.7874i,+2401.78+0i,+2361.02+76.0746i,+2358.8+78.3519i,+2368.9+28.2978i,+2376.66+35.6163i,+2376.24+35.3487i,+2357.41+78.6122i,+2361.02+76.0746i,+2360.6+75.942i,+2361.02+76.0753i,+2357.37+80.6442i
2018-01-01 00:50:00 CST,+2382.14+21.9473i,+2383.25+22.6826i,+2401.78+0i,+2369.9+49.4055i,+2368.29+51.8559i,+2373.39+15.4142i,+2381.55+22.5356i,+2381.21+22.2749i,+2367.85+51.9477i,+2369.9+49.4055i,+2369.48+49.2865i,+2369.9+49.4062i,+2366.93+54.0791i
2018-01-01 00:51:00 CST,+2386.92+3.85969i,+2387.88+4.86975i,+2401.78+0i,+2378.03+14.9105i,+2376.04+17.1i,+2378.54-2.90877i,+2386.37+4.64811i,+2386.13+4.37008i,+2375.32+17.2744i,+2378.03+14.9105i,+2377.58+14.8052i,+2378.03+14.9111i,+2374.46+19.0957i
2018-01-01 00:52:00 CST,+2387.36-0.188565i,+2388.36+0.662931i,+2401.78+0i,+2379.85+5.36312i,+2377.84+6.62332i,+2379.08-6.34584i,+2386.67+0.725672i,+2386.34+0.575291i,+2376.39+7.01382i,+2379.85+5.36312i,+2379.44+5.22346i,+2379.85+5.36371i,+2376.71+7.90475i
2018-01-01 00:53:00 CST,+2388.01+4.50668i,+2388.77+5.22856i,+2401.78+0i,+2379.73+14.1736i,+2378.12+13.8669i,+2381.23-0.988372i,+2387.13+5.14746i,+2386.87+4.92527i,+2376.68+14.2266i,+2379.73+14.1736i,+2379.3+14.0391i,+2379.73+14.1742i,+2377.37+13.5693i
2018-01-01 00:54:00 CST,+2386.61+13.6166i,+2387.4+14.3289i,+2401.78+0i,+2376.19+32.2617i,+2374.55+32.0056i,+2379.7+8.2857i,+2386.22+14.1826i,+2385.95+13.9133i,+2373.11+32.3732i,+2376.19+32.2617i,+2375.72+32.1321i,+2376.19+32.2623i,+2373.77+31.7667i
2018-01-01 00:55:00 CST,+2389.66+8.00303i,+2390.26+8.7017i,+2401.78+0i,+2381.13+20.4361i,+2379.72+20.0534i,+2383.75+2.66663i,+2389.27+8.68069i,+2389+8.40784i,+2378.3+20.4103i,+2381.13+20.4361i,+2380.66+20.3055i,+2381.13+20.4372i,+2379+19.749i
2018-01-01 00:56:00 CST,+2387.62+5.36164i,+2388.16+5.84084i,+2401.78+0i,+2376.78+13.3997i,+2375.38+13.0851i,+2382.3+0.831333i,+2387.26+5.93723i,+2387.02+5.70526i,+2374.05+13.278i,+2376.78+13.3997i,+2376.33+13.2822i,+2376.78+13.4011i,+2374.6+12.8519i
2018-01-01 00:57:00 CST,+2393.72-8.68423i,+2394.18-8.26023i,+2401.78+0i,+2388.82-15.4488i,+2387.62-15.7017i,+2388.69-12.91i,+2393.22-8.02159i,+2393.02-8.13707i,+2386.66-15.4765i,+2388.82-15.4488i,+2388.37-15.5872i,+2388.82-15.4472i,+2386.84-15.9794i
2018-01-01 00:58:00 CST,+2393.82-7.65851i,+2394.24-7.25935i,+2401.78+0i,+2389.35-12.853i,+2388.53-13.0011i,+2388.58-11.7394i,+2392.91-7.16798i,+2392.68-7.27493i,+2388.11-12.9344i,+2389.35-12.853i,+2388.86-12.9999i,+2389.35-12.8514i,+2387.8-13.3205i
2018-01-01 00:59:00 CST,+2392.2-0.748429i,+2392.6-0.340575i,+2401.78+0i,+2386.86+2.12434i,+2385.99+2.05603i,+2386.96-4.79777i,+2390.86-0.523254i,+2390.61-0.741391i,+2385.55+2.15234i,+2386.86+2.12434i,+2386.39+2.00818i,+2386.86+2.12543i,+2385.22+1.7997i
2018-01-01 01:00:00 CST,+2382.23+13.1333i,+2383.35+13.9943i,+2401.78+0i,+2370.55+32.5554i,+2369.31+32.6215i,+2373.2+6.34291i,+2381.49+13.7868i,+2381.17+13.5519i,+2368.38+32.7635i,+2370.55+32.5554i,+2369.66+32.4142i,+2370.55+32.5568i,+2368.46+32.663i
2018-01-01 01:01:00 CST,+2374.82+0.0855402i,+2378.02+2.12921i,+2401.78+0i,+2365.78+13.6586i,+2364.52+13.716i,+2353.99-14.6786i,+2375.97+2.0499i,+2375.58+1.83668i,+2363.57+13.9287i,+2365.78+13.6586i,+2364.96+13.5186i,+2365.78+13.6599i,+2363.67+13.7051i
2018-01-01 01:02:00 CST,+2372.37+0.58277i,+2375.83+2.42571i,+2401.78+0i,+2362.16+12.9023i,+2360.39+12.7286i,+2351.02-16.0007i,+2373.81+2.34829i,+2373.37+2.17625i,+2359.25+12.87i,+2362.16+12.9023i,+2361.49+12.7264i,+2362.16+12.9035i,+2359.09+12.5485i
2018-01-01 01:03:00 CST,+2377.94-20.0365i,+2381.28-17.8586i,+2401.78+0i,+2372.5-25.8885i,+2370.26-26.2166i,+2356.33-36.0656i,+2379.27-17.956i,+2378.85-18.1872i,+2368.28-25.8153i,+2372.5-25.8885i,+2371.8-25.9984i,+2372.5-25.8872i,+2369.03-26.3428i
2018-01-01 01:04:00 CST,+2372.02-24.389i,+2375.52-22.6523i,+2401.78+0i,+2366.39-31.6568i,+2364.1-32.0307i,+2350.36-40.4525i,+2370.52-24.095i,+2370.14-24.3316i,+2362.12-31.5832i,+2366.39-31.6568i,+2365.7-31.7973i,+2366.39-31.6556i,+2362.84-32.2224i
2018-01-01 01:05:00 CST,+2370.47-28.9841i,+2373.83-26.938i,+2401.78+0i,+2362.52-38.9234i,+2360.27-39.305i,+2349.25-45.2864i,+2368.75-28.3122i,+2368.37-28.5532i,+2358.31-38.9835i,+2362.52-38.9234i,+2360.99-39.1495i,+2362.52-38.9216i,+2358.98-39.3933i
2018-01-01 01:06:00 CST,+2365.92-2.06866i,+2368.47-0.375407i,+2401.78+0i,+2351.03+12.3849i,+2348.87+11.9695i,+2349.21-16.3869i,+2362.82-1.54309i,+2362.55-1.64852i,+2346.93+12.2485i,+2351.03+12.3849i,+2349.71+12.1858i,+2351.03+12.3866i,+2347.61+11.8501i
2018-01-01 01:07:00 CST,+2372.8-3.12041i,+2374.18-2.46227i,+2401.78+0i,+2359.32+5.27889i,+2357.2+4.99741i,+2362.5-10.7871i,+2368.54-4.0596i,+2368.44-4.13934i,+2355.32+5.42792i,+2359.32+5.27889i,+2358.56+5.15616i,+2359.32+5.28021i,+2356.03+4.90958i
2018-01-01 01:08:00 CST,+2374.97-2.45705i,+2376.31-1.83858i,+2401.78+0i,+2362.67+5.98096i,+2361.15+5.8392i,+2365.28-9.79279i,+2371.09-3.47422i,+2370.98-3.52268i,+2359.62+6.05821i,+2362.67+5.98096i,+2361.29+5.73288i,+2362.67+5.98269i,+2360.32+5.858i
2018-01-01 01:09:00 CST,+2381.22-11.0475i,+2382.22-10.6737i,+2401.78+0i,+2374.8-13.0859i,+2373.55-13.1783i,+2373.6-16.8437i,+2376.66-11.9339i,+2376.56-12.0113i,+2372.61-13.0082i,+2374.8-13.0859i,+2373.62-13.3289i,+2374.8-13.0844i,+2372.66-13.2881i
2018-01-01 01:10:00 CST,+2382.09-15.1417i,+2382.81-14.7621i,+2401.78+0i,+2374.78-21.8374i,+2373.46-21.8225i,+2375.75-20.5666i,+2377.42-15.9545i,+2377.3-15.9096i,+2372.52-21.6221i,+2374.78-21.8374i,+2373.16-22.0014i,+2374.78-21.8355i,+2372.54-21.8263i
2018-01-01 01:11:00 CST,+2385.37-13.285i,+2386.11-12.9217i,+2401.78+0i,+2380.87-17.8915i,+2379.54-17.8671i,+2379.09-18.731i,+2380.83-14.3385i,+2380.54-14.3604i,+2378.6-17.6274i,+2380.87-17.8915i,+2380.03-18.1249i,+2380.86-17.8901i,+2378.61-17.8966i
2018-01-01 01:12:00 CST,+2384.11+14.312i,+2384.99+14.1644i,+2401.78+0i,+2375.94+30.0861i,+2374.75+30.118i,+2377.67+8.92043i,+2381.8+13.6112i,+2381.44+13.5952i,+2373.82+30.2335i,+2375.94+30.0861i,+2375.29+29.8798i,+2375.94+30.0874i,+2373.92+30.1939i
2018-01-01 01:13:00 CST,+2384.1+9.60594i,+2384.94+9.73844i,+2401.78+0i,+2374.44+22.0437i,+2373.21+22.0389i,+2377.09+4.54071i,+2382.35+9.24527i,+2381.99+9.18882i,+2372.25+22.2757i,+2374.44+22.0437i,+2373.72+21.8752i,+2374.44+22.045i,+2372.39+22.0105i
2018-01-01 01:14:00 CST,+2384.95+10.3258i,+2385.63+10.5097i,+2401.78+0i,+2375.64+23.29i,+2374.47+23.3799i,+2378.93+4.73167i,+2382.88+10.2346i,+2382.51+10.2146i,+2373.51+23.6056i,+2375.64+23.29i,+2374.91+23.154i,+2375.64+23.2913i,+2373.69+23.4158i
2018-01-01 01:15:00 CST,+2387.9+0.177267i,+2388.63+0.446703i,+2401.78+0i,+2381.8+3.99294i,+2380.57+3.93822i,+2381.78-5.32925i,+2385.85-0.0204423i,+2385.46-0.0651465i,+2379.61+4.16945i,+2381.8+3.99294i,+2381.23+3.88834i,+2381.8+3.9942i,+2379.77+3.88868i
