grid,id
62145.0+24064.246753j,3
62115.0+27138.661026j,3
62325.0+27042.535835j,3
62250.0+27247.117571j,3
62385.0+22505.396767j,3
62100.0+23195.481071j,3
62190.0+29358.22614j,3
62475.0+24168.338287j,3
62040.0+26343.812992j,3
61725.0+26536.502892j,3
61725.0+24874.739426j,3
61785.0+25835.534862j,3
61740.0+28408.933903j,3
61710.0+26002.232607j,3
62100.0+23941.606532j,3
62010.0+28713.242799j,3
62055.0+23909.588886j,3
61845.0+24890.837498j,3
61905.0+28541.624086j,3
61725.0+20995.898224j,3
60300.0+23181.68609j,3
60210.0+28118.930334j,3
60435.0+26512.050529j,3
60015.0+25257.527203j,3
60105.0+20137.273654j,3
59925.0+21287.002239j,3
59640.0+25451.43481j,3
59580.0+23489.13706j,3
59940.0+28214.814481j,3
59880.0+27610.248424j,3
59715.0+25518.865808j,3
59520.0+19766.641381j,3
59655.0+27605.349494j,3
59655.0+23040.303066j,3
59610.0+22184.614948j,3
59535.0+21873.780393j,3
59445.0+22263.029905j,3
59415.0+25702.344057j,3
59400.0+27003.838837j,3
24090.0+10082.988231j,3
16845.0+7990.943602j,3
6720.0+2962.218506j,3
4275.0+1867.292631j,3
4050.0+1570.067252j,3
3855.0+1639.172175j,3
3900.0+1886.86536j,3
4065.0+1945.394489j,3
5685.0+2254.251277j,3
6525.0+2879.917121j,3
6030.0+2072.942828j,3
6030.0+2704.449844j,3
6180.0+2425.090076j,3
6210.0+2322.287818j,3
6450.0+2704.026815j,3
5970.0+2607.447133j,3
5835.0+2665.488215j,3
6165.0+2787.943663j,3
5955.0+2709.387352j,3
5805.0+2168.400524j,3
5670.0+2463.055291j,3
5610.0+2557.445727j,3
5700.0+1978.501356j,3
5715.0+2513.656369j,3
6015.0+2589.204346j,3
5850.0+2471.365839j,3
5685.0+2190.181939j,3
5565.0+2668.36541j,3
5535.0+2024.574299j,3
5520.0+2232.147869j,3
5505.0+2298.583229j,3
6510.0+2364.765357j,3
8100.0+2966.073775j,3
6300.0+2194.418104j,3
5850.0+1987.284443j,3
3930.0+1467.570756j,3
4125.0+1941.061717j,3
4245.0+1745.547375j,3
4035.0+1350.11588j,3
3750.0+1694.238717j,3
3900.0+1632.704433j,3
4020.0+1862.660667j,3
3750.0+1800.330918j,3
3765.0+1477.265626j,3
3765.0+1612.170135j,3
3735.0+1466.698515j,3
4095.0+1654.481453j,3
3825.0+1554.097825j,3
3720.0+1407.189327j,3
3780.0+1576.965073j,3
6555.0+2284.963891j,3
6090.0+2442.044523j,3
